ds,trend_orig,seasonality_orig,exogenous_orig,NBEATSx_orig
2024-10-01,0.01897,0.018408,0.067489,0.019326
2024-11-01,0.017318,0.017196,0.071137,0.02011
2024-12-01,0.016566,0.015796,0.072205,0.019025
2025-01-01,0.016713,0.016647,0.071617,0.019436
2025-02-01,0.01776,0.01902,0.069236,0.020475
2025-03-01,0.019706,0.023279,0.063737,0.021181
2025-04-01,0.012251,0.012942,0.073822,0.013474
2025-05-01,0.020248,0.017895,0.064474,0.017076
2025-06-01,0.026155,0.026751,0.053894,0.021259
2025-07-01,0.029972,0.027229,0.051563,0.023222
2025-08-01,0.031698,0.033164,0.049852,0.029173
2025-09-01,0.031335,0.034063,0.048306,0.028163
